rank,feature,importance
1,MagpieData avg_dev Electronegativity,294.0
2,MagpieData avg_dev CovalentRadius,290.0
3,MagpieData avg_dev MeltingT,239.0
4,MagpieData mean GSvolume_pa,237.0
5,MagpieData avg_dev GSvolume_pa,227.0
6,MagpieData mean CovalentRadius,222.0
7,MagpieData mean MeltingT,217.0
8,MagpieData mean Electronegativity,209.0
9,MagpieData mean MendeleevNumber,197.0
10,MagpieData mean NUnfilled,190.0
11,MagpieData mean Number,187.0
12,MagpieData avg_dev MendeleevNumber,183.0
13,MagpieData range GSvolume_pa,179.0
14,MagpieData avg_dev NUnfilled,177.0
15,MagpieData avg_dev SpaceGroupNumber,177.0
16,MagpieData avg_dev Number,173.0
17,MagpieData avg_dev NValence,161.0
18,MagpieData range MeltingT,158.0
19,MagpieData mean SpaceGroupNumber,157.0
20,MagpieData avg_dev Column,149.0
21,MagpieData mean NValence,136.0
22,MagpieData avg_dev NdValence,136.0
23,MagpieData avg_dev NdUnfilled,131.0
24,MagpieData avg_dev AtomicWeight,128.0
25,MagpieData range Electronegativity,124.0
26,MagpieData mean NdUnfilled,108.0
27,MagpieData avg_dev NpUnfilled,104.0
28,MagpieData minimum GSvolume_pa,102.0
29,MagpieData mean Column,100.0
30,MagpieData mode GSvolume_pa,96.0
31,MagpieData range CovalentRadius,91.0
32,MagpieData avg_dev Row,89.0
33,MagpieData mean AtomicWeight,88.0
34,MagpieData range MendeleevNumber,84.0
35,MagpieData minimum CovalentRadius,81.0
36,MagpieData maximum Electronegativity,80.0
37,MagpieData maximum MendeleevNumber,79.0
38,MagpieData minimum MeltingT,75.0
39,MagpieData mean NdValence,75.0
40,MagpieData mean NpUnfilled,74.0
41,MagpieData mode CovalentRadius,74.0
42,MagpieData minimum Number,73.0
43,MagpieData mode MeltingT,72.0
44,MagpieData maximum Number,71.0
45,MagpieData avg_dev NsValence,69.0
46,MagpieData minimum Electronegativity,69.0
47,MagpieData avg_dev NpValence,67.0
48,MagpieData minimum MendeleevNumber,64.0
49,MagpieData mean GSbandgap,63.0
50,MagpieData mean NsValence,61.0
