formula,space_group,formation_energy_per_atom
Ni4Ta6,R-3c,0.10174024974414664
Mn4Sb2,I4_1/amd,0.49598083178150887
Ir2Na2,Imma,0.47213003244004526
MoSm,R-3m,0.5114126186332761
Sn17P12,I-43m,0.2150613449970501
Sr6Br4,R-3c,-1.1913767863029878
Ge4P12,Pnma,0.20868503656866455
Mn8Sb,I4/mmm,0.10883672676979472
Ba2Bi3,Immm,-0.8094130623309983
Mo3W3,C2/m,-0.0006663757429568781
InSn5,Cm,0.00035555629739469907
Ga2Sr,P6/mmm,-0.533854310311091
Pd2Ta2,P4/nmm,-0.3572595305178883
CuNb,P4/mmm,0.21193338329709643
Ac4I6,R-3c,-1.1456698935126979
Fe6Sb18,Pmmn,0.1547501784091292
InSn5,Cm,-0.0004405329807042335
In4Sn2,C2/m,0.005837277427945746
Sr6Br4,R-3c,-1.1928946056775946
In2Sn4,C2/m,0.001088492275230853
RhGe3,Imm2,-0.0905160589754983
CuEu,Pm-3m,-0.15980741365439277
Cu2Ga2,Pmma,-0.04615037591968729
Fe4Na8,Pa-3,1.6371448910768656
PtSm,Pm-3m,-1.2893512592068017
Cr4Sr5,I4/mmm,0.8411270269282158
CeSb,P-6m2,-1.0332635248915611
Nb2W6,Pmmn,0.37008034385891797
In5Br,Amm2,-0.14491796595117692
CsNi,Amm2,1.2079635948348568
In4Br12,Pnma,-0.8565492677849518
Ir3K,Cmmm,0.9047773221114603
Nb4W8,Pnma,0.12538866332914247
Ag4Sn8,I4_1/amd,0.03939530922542348
Nb6Pt2,Pm-3n,-0.41934858249463325
AlMn,P-6m2,-0.16539087175194833
SbP,Fm-3m,-0.0401790750342963
CrTa3,Immm,0.026584735856422625
Al2Rh,I4/mmm,-0.7879958682286438
TaV5,Cmmm,0.02854298320347463
Au2P,I4/mmm,0.30330087340326156
Ir2Ta4,Pnnm,-0.03360964335666239
NiPt,P-6m2,-0.04351958776146958
CaRh2,I4/mmm,-0.0716643596461175
Cr3Sr,P4/mmm,0.7330921242841102
Na2Pt2,Pmmn,-0.062292735079498396
Pb4As2,Pnnm,0.08859453785025136
Al3Sb5,Cmmm,0.24065650358479562
Ir16Pd8,Fd-3m,0.7219119116409539
Ag2Br2,P2_1/m,-0.43855583937150433
Ca4Ta2,I4/mcm,0.53492339105963
NiRh,P-6m2,0.04379639953237113
Ba2Sn6,Cmcm,-0.2436607623660132
AgMn,P4/mmm,0.829020340298344
CsMn,P-6m2,-5.420664132459949
Ga2Np,P6/mmm,-0.25345018354181786
Na2Pt4,Cmcm,-0.050740709027011256
GaNp,P-6m2,-0.18564366314329384
CuMn3,I4/mmm,0.2690644181336781
NpPd,P-6m2,0.06452580487432691
FeIr2,I4/mmm,0.014869236113600692
Cr2Sr2,P4/nmm,0.7446481806535772
Ag3Al5,P1,-0.0039340081548497885
Al4P2,I4_1/amd,0.004820986664606508
CsSb,P-6m2,-0.1281485487240288
Ac3Yb,Fm-3m,0.04835343043718554
FePb3,Fm-3m,0.7885119954880766
FeP,R-3m,-0.05381901279844303
Al3Nb,I4/mmm,-0.4241836065132585
Au6Mn2,Cmcm,0.0028625383247353753
Ni4Ge4,Pnma,-0.3244859129136115
NiSb2,I4/mmm,-0.002578556133567389
SmSb,P-6m2,-1.3450050363071764
Fe8Pt,I4/mmm,-0.05216740734617215
RhV,P-6m2,-0.23992756000428983
Au4Mn,Immm,-0.047531757761927196
Ni4Sb2,I4_1/amd,0.17705212492949526
Ag2Al6,I4/mmm,0.03410480230029744
Ag4Al5,I4/mmm,0.005084912144240327
Mo2As,Fmmm,0.430459223416058
Al2Sn6,Cmcm,0.0934787482373256
IrMn2,I4/mmm,-0.0004295886141948794
AcMn,P4/mmm,0.34851480629068554
Ni2Sb,P4/mmm,0.12095545966318373
Ni2Sb2,P4/nmm,-0.05822084399699268
AuMn3,Pmmm,0.2960059875718608
Ag2Al2,I4_1/amd,-0.009435697105845797
Ba2Ge2,Pmmn,-0.11685555054376229
IrSn,P4/mmm,-0.06469035281581981
V3Br,I4/mmm,0.5709922328291892
InI,R-3m,-0.37104109192055956
GaGe,R-3m,-0.014641019439152192
Al2Pd2,P4/nmm,-0.7411901811862194
Cr2W2,P4/nmm,0.08641021355585998
Mn3Sn,I4/mmm,0.18536879859450384
Ag3Al,P4/mmm,-0.038536865876587445
Cr3Sn,P4/mmm,0.43868524454905966
Al2Pd2,P4/nmm,-0.7471028637113477
Ge3Br,P4/mmm,0.18091221102046617
CrW3,P4/mmm,0.05378440507658766
Cr2Sn2,P4/nmm,0.2075312870777024
Fe2Pt,P4/mmm,0.98433841365906
KSn2,I4/mmm,-0.1852067996178531
Cr3W,P4/mmm,0.0703150051877337
CsV,P-6m2,-5.544304572661331
Cr2Sn2,P4/nmm,0.2026693071890291
Fe2Pb2,Cmcm,0.4067883133950829
V2Br2,P4/nmm,-0.1510803872846198
Cr4Rh,I4/mmm,0.6478040969868033
AgAl3,P4/mmm,-0.015206493471805249
VBr3,P4/mmm,-0.26191591936141423
CsV,P-6m2,-0.1117365929441112
CrNb3,Immm,0.07230804943818647
CrRh2,I4/mmm,-0.04645623372502191
Ba2Ge2,Cmcm,-0.5915835598114554
Mn2Sn,I4/mmm,0.20386380214031874
CrTa,F-43m,2.66607583354954
IrP,R-3m,-0.12618309914386305
Cu8Fe16,Fd-3m,0.32510066667989906
Fe12W12,Pbcm,0.1591388106529313
Na2Pt,P4/mmm,-0.10946876291543244
WP,F-43m,0.5181687470777128
PbV3,Fm-3m,0.3868962014052073
Nb4I16,Cmc2_1,-0.5983008791202679
Ta4Ge2,I4_1/amd,0.5502794154585248
Ge4As2,Pnnm,0.2688744583085179
As4Br2,I4_1/amd,0.18868158623883366
InPt,Fm-3m,-0.2747187912913738
GaP,Pm-3m,0.28270778461576596
NiSn,P-6m2,-0.1266843635676862
Au2In4,Pnnm,-0.14189958689274995
AlNb5,P4/mmm,0.007176199399160292
Au4Sr16,I-43m,-0.11304361824002562
Pt8Sn4,I4_1/amd,-0.3379489042611444
Cu6Pt4,P1,-0.11968743726813216
Au3P,Immm,0.2305156716459713
Ge2As4,Pnnm,0.11969471217362819
NpSb,Fm-3m,-0.44974825214085357
CrNb5,F-43m,0.4547293105615727
CeBr,F-43m,-0.8023102457033016
Ce12Ga8,P4_2/mnm,-0.4472578612747064
Ba2Pt2,P6_3/mmc,-0.4142137698980046
CaRh4,I4/m,-0.012359346047200149
Cu4Fe8,Pa-3,0.9290346282517644
RbRh,P-6m2,1.0519039009339615
Cu2Ni26,Fm-3c,0.26773962988900735
CrTh,F-43m,1.7097904528933139
PdRh2,I4/mmm,0.0679740127382568
YbP,R-3m,-0.8482652900103984
Ir2Mo4,Pnnm,0.2558778878110732
Ni2As6,I4/mmm,0.2952248090641767
Al3V,I4/mmm,-0.29677454344885756
Pd2Ta2,P4/nmm,-0.3618708831950421
NiAs3,P4/mmm,0.142732757003877
Cr10Nb6,I4/mcm,0.3962055410731953
Ag3Al4,P-1,0.003962790239954066
Cu2Ge4,Pnnm,0.18857868814602696
CrMn,P-6m2,0.24331308730628365
Ba2Pt2,P6_3/mmc,-0.45791606202894597
Ni2Ta4,Fd-3m,0.6395073564584782
FeAs3,Imm2,0.0881821666677709
As3Br,P4/mmm,0.2126619543483046
Mo3P,Fm-3m,0.07560031524579891
Ni2Sn,I4/mmm,-0.10548984331168576
K4Sn2,Pnnm,0.0339120821430973
Al3P,Pm-3m,0.10031778736925112
Fe8Mo16,Fd-3m,0.2217364434622553
Cu3Ta,P4/mmm,0.0786238311665679
AlTa2,I4/mmm,-0.10957250440790507
Cu5Pt5,P1,-0.1138101380258533
CuTh,F-43m,0.7968494262166388
Ba2V,I4/mmm,0.6621519240922341
PbSr7,Fm-3m,-0.030999434316967056
Fe3As,Cmmm,0.016682753327807553
In3K,Cmmm,-0.07807715567121898
Au3Sr,Pm-3m,0.7382655086643606
SrW2,Fm-3m,3.2276063672278554
Al2Rh,P4/mmm,-0.6991817297737448
Pd2Rh2,P4/nmm,0.06432343895850146
WSb,F-43m,1.5974823249986905
Cu6Ni2,Pm-3n,0.10321429767618451
AgP3,Fm-3m,0.6377887469169732
W3Sb,Fm-3m,0.6142879079802093
AgSn,P4/mmm,0.05428117914725217
Ir2Mo6,Cmcm,0.045988800711995736
Ta2Ge2,P4/nmm,0.10173526885240669
BiBr,P-6m2,-0.3222004881677978
CaW2,I4/mmm,0.6406378987075527
CrCu,Fm-3m,0.99933812170078
Mo4Nb,Im-3m,1.5855713652165122
Ir3V,P4/mmm,-0.020382560563048102
Eu8Ge4,Pnma,-0.8865988076880225
Al12Pb12,Pbcm,0.2570537015373606
Ni6Ge18,Pmmn,0.21982669534627539
Au8Mn4,Pnma,-0.0326742680376834
Mn10Sn6,I4/mcm,0.2141267769039148
K8P4,Pnma,-0.08613834717390863
Al2V,Fmmm,3.021478292177701
CsW,P-6m2,2.392753487086816
CrPd,Fm-3m,0.7786205625391744
K3Na,P4/mmm,0.017588588320603282
NaPb3,Fm-3m,-0.05462194594813674
Ni3Sb,I4/mmm,-0.13614058228753034
Ir3Mn4,I4/mmm,0.02160226628202468
Cr12W18,P4_2/mnm,0.33466981236464527
CrRh3,I4/mmm,-0.06999137973499447
PI,R-3m,0.6765507848780659
CuI,P-6m2,0.16326824084414904
Al18Pb6,Pmmn,0.20843447102866305
WSb,P-6m2,0.5521977096633099
Fe2Ga4,I4/mcm,-0.17461953860960536
Mn2Sn2,I4_1/amd,0.1906174282030415
PI,R-3m,0.6761453129882056
AgAl2,P4/mmm,0.19276388063954583
Cr5Rh4,I4/mmm,0.04341325106488606
Ge8Br,I4/mmm,0.2846492762005539
Ag5Al2,I4/mmm,-0.004772108177517863
Ag4Al2,I4_1/amd,0.03737867978669248
Cr8Rh,I4/mmm,0.21539097245440708
Mo7Nb,Fm-3m,0.4178278478907451
BaIr2,Fm-3m,1.7617864823163814
Pd12Ta18,P4_2/mnm,-0.18821943322440687
K2As6,I4/mmm,0.018315275473644643
AlPd2,I4/mmm,-0.7917135539533374
Al4Pb2,Pnnm,0.4596315211143362
Ir2Na4,Cmcm,0.23103792751241356
Ge3P,Pmmm,0.4028421099060848
Pd2Rh2,P4/nmm,0.041343169088847276
Cu7Pt5,P1,-0.11853955965565237
Ba3Ir,Pm-3m,0.3315548688782104
Ta3Ge,P4/mmm,-0.10703947102131117
Ag6Al6,Cmm2,-0.025939400101567738
Ag5In,P4/mmm,0.0038147416913586105
PAs3,Fm-3m,0.5081874789383827
VW2,Immm,0.4517394004088544
Ba3Ir,Pm-3m,0.03839829997855215
In4Pb16,I-43m,0.2226825117026813
Pb2Sb6,Cmcm,0.15630587451269307
PaBi,F-43m,0.5006361656619811
CrTa,F-43m,2.5070367353222007
Ag7Ta,Fm-3m,0.33181138905320395
FePb3,Pm-3m,0.47860182393839956
Ni4Rh2,Cmmm,0.16686926906054111
AlRh2,I4/mmm,-0.637019060757113
WSb,Pm-3m,0.6402363637939983
Ba4Ir2,Fd-3m,1.2154619112347849
Cu5Pt7,P1,-0.11722463290496361
Ni8Ta16,Fd-3m,-0.08071247751933797
MoP3,Pm-3m,0.5510076566921223
Ba2Ni2,P6_3mc,0.597629677831121
AuPt,F-43m,1.1568970335132995
Cu3Ge4,I4/mmm,0.2297082476966535
NbP2,I4/mmm,-0.6493615298102936
Mo2Pb2,Cmcm,0.5946080176813062
CuIr,F-43m,1.783717347151633
AcMn,P4/mmm,0.41229347240347725
Cr5Nb,F-43m,0.14691129272384865
K2As2,P4/nmm,-0.160004924188351
CuNi,F-43m,1.2524800810011456
Fe3Na,Fm-3m,1.1271164438069459
BaBr3,P4/mmm,-1.4692358460725734
Fe2Pb2,Fd-3m,1.224709304364091
Cr4P,Im-3m,0.722891464014863
Pd16Ta14,P4_2/mnm,-0.2155509804832832
Ag4Al4,Cccm,-0.0171242730527843
CrP7,Fm-3m,0.6510238187764203
FeW2,I4/mmm,0.3111246762356288
SnP3,Fm-3m,0.5314056150159168
FeNa,Fm-3m,2.2341407373912583
PtV2,Fmmm,-0.3400272227183064
NbPb3,Cmmm,0.5071251497625129
Ba3Br,P4/mmm,-0.6944199402649203
CsBr,F-43m,-1.8502803122460794
V4W4,Pnma,0.23787652119263747
K5Ge,Amm2,0.11715442905018492
Ba2Cu2,Cmcm,-0.0169725723717149
Al12Sn4,Pnma,0.13736798007084117
Ba2Cu4,Cmcm,0.16799820618337455
K3P,Imm2,0.10898894121971914
YbBi,F-43m,-0.14194304614409914
V2W,Immm,0.15085984160564317
Fe3Pb,Pm-3m,0.38681687516629726
Cu6Pt6,P1,-0.09412773969636312
MoPb3,Immm,0.5025277881857404
Ca3P5,Cmmm,-0.4401060503561709
Ca12Mo4,Pnma,0.6399058390486374
As2Br6,I4/mmm,0.3046454324844947
P5As,F-43m,0.7837244693717675
W24P5,I-43m,0.43164808367131086
Fe24Pb5,I-43m,0.554399661464772
Ga14Pt6,Im-3m,-0.5450134948837502
Mo4Pb2,Cmcm,0.5902547794711998
RhU,P4/mmm,-0.4408425554688815
Fe2Pb,Fm-3m,1.38281204978178
Ag2Ge2,Pmmn,0.17365904556802203
FePd3,Pm-3m,-0.1061349423812592
PtV3,P4/mmm,-0.2900346358635062
NbW3,Cmmm,0.47195167841272223
Ag2Ca4,I4/mcm,-0.2481122537202737
RhGe2,Fm-3m,-0.32934225902586317
CuK,Pm-3m,0.4781945344055849
Sb3Ge,Immm,0.2660213422478197
AlCu5,Cmmm,-0.1362652104227132
Au3Ga,P4/mmm,-0.039059341343633314
Na2Pt2,P4/nmm,0.05348833095739369
NbW3,Pmm2,0.4627843224115704
Na4Pb,Im-3m,-0.0642697687374035
Fe16Pd8,Fd-3m,0.26781297940785365
Ba6Sn2,Cmcm,-0.14450532516415837
Fe3Pd,Fm-3m,0.0705064552450434
Nb2W4,Pnnm,0.19484791954661537
AgSn,P4/mmm,0.04094689292221876
Mo3Ta,P4/mmm,-0.1259140954870599
CrNa,Cmmm,0.9867061782141313
MnW,F-43m,1.9896804572734794
Fe4W2,I4/mcm,0.6376702269705253
Sb3Ge,Pmmm,0.2645231169142601
GaNa3,P4/mmm,0.02421685525055617
AuGa3,P4/mmm,-0.044392137011382005
PAs,Pm-3m,0.552972441845033
Nb4V8,I4_1/amd,0.15976206425438613
TaYb,F-43m,3.229303225683664
BaGa4,I4/mmm,-0.46958004588677404
Fe5Ir,P4/mmm,0.15234810865599732
Ba16Ir8,Fd-3m,0.07967460130833241
Au2Nb3,I4/mmm,-0.18095411781638546
Ba2In,I4/mmm,-0.3119255525568878
SnTa,F-43m,1.464329287677855
FePd3,Pm-3m,1.3101389883025165
VW2,I4/mmm,-0.09375382362166344
FePd2,Fm-3m,0.637573661042404
K2P2,Cmcm,-0.42016083387719316
Ba2Cu,I4/mmm,0.023347709601664768
Cu3Sb,Fm-3m,0.12921636770666378
KP3,Pmmm,0.016365842778186313
SmYb3,Pm-3m,-0.12397089182317433
Nb2V,I4/mmm,0.05037056158204223
Na2Pt,I4/mmm,0.004967312895204874
Ag2Ge2,Pmmn,0.17395861162852055
PtV3,I4/mmm,-0.24328826181930552
Ag3Ge,Pmmm,0.08006941736012418
TaGe3,Cmmm,0.210347076036002
Nb3W,Immm,-0.027486534281749186
Cu6Pt4,P-1,-0.1122154596063794
Ni4Rh8,Pnma,0.05357788716754541
SmTa,P-6m2,0.266372281515423
MnNb,F-43m,1.8045609325081902
Ga2As2,P4/nmm,0.2211742613306651
FeAs3,Pmm2,0.2431374712098151
Cr3Rh,Pm-3m,0.14700796949402317
AuP3,Cmmm,0.5236402867825065
Fe8Pd4,Pa-3,0.8325658894387308
CaCr3,Cmmm,0.7352797838408138
Cr3Sr,P4/mmm,0.6730755965588244
Ag3Ca,P4/mmm,-0.1590576046828498
CeGa3,Fm-3m,-0.29831945870452214
SbGe,Cmmm,0.3136889612467888
As6Br2,Pm-3n,0.7613573160563023
Au3Cr,P4/mmm,0.07272051187784445
AlTa2,P4/mmm,0.6240335894659429
Au6Ga10,I4/mcm,-0.08793867032958635
Nb8P,I4/mmm,-0.147451398258034
Ca2Sn,I4/mmm,-0.4536710840000347
In2Na2,P4/nmm,-0.09582227380269703
NiAs3,Fm-3m,0.00778962014393958
Al3Rh,Pmmm,-0.5352493491958317
CaW3,P4/mmm,0.7743857544767856
Ba3Sn,Immm,-0.3223431693894989
WAs2,P4/mmm,0.570508179759018
Ag14Ca4,Cmcm,-0.2682671116525693
Ag4Al8,P-1,-0.02272126949959663
Mn8W16,Fd-3m,0.25055629644406946
Al6Rh6,Pmmm,-0.7530327867590891
Cu4Sn5,I4/mmm,0.2151247137357125
Mo3Sr,Cmmm,0.7041883060347418
Au3Nb,Pmmm,-0.038156165935011366
CaW3,P4/mmm,0.7728979899659549
P3As,Fm-3m,0.6037013122326167
MoTa2,I4/mmm,-0.1507586219781795
Sb4Ge2,Cmcm,0.24038658943971628
AuNb2,Immm,0.05196167672126961
Ni3Sm,Pm-3m,-0.3299709059681639
CrAs3,I4/mmm,0.5987397938903678
IrPb2,I4/mmm,0.22575771889723661
Na2Pt2,Cmcm,-0.06783475845274589
FePd,Fm-3m,0.48125807034887913
IrBr3,P4/mmm,0.6300865230216401
Cr2As4,I4_1/amd,0.08347980058252465
Pb6As2,Pmmn,0.28922667106808
Ga2Na,I4/mmm,-0.04804963071038119
FePd3,Fm-3m,-0.023077667529857848
Mn6W2,Pm-3n,0.17465073938247322
Cr7Nb,Fm-3m,0.48849262558765183
Ir2Pb2,P4/nmm,0.3738050343011903
Au2Nb2,Cmme,-0.10821285330637043
AuNb3,Pmm2,0.09587261776218625
Nb2V4,I4_1/amd,0.4809952880147084
Au2Nb2,Pmma,-0.0960918000005977
