Formula,temperature(K),seebeck_coefficient(μV/K),electrical_conductivity(S/m),thermal_conductivity(W/mK),power_factor(W/mK2),ZT,reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BiSb(Se0.92Br0.08)3,300,-110,27766,0.63 ,0.00034 ,0.16 ,10.1002/adfm.201806558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BiSb(Se0.92Br0.08)3,400,-138,23883,0.57 ,0.00045 ,0.32 ,10.1002/adfm.201806558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BiSb(Se0.92Br0.08)3,500,-163,20850,0.53 ,0.00055 ,0.52 ,10.1002/adfm.201806558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BiSb(Se0.92Br0.08)3,600,-181,19000,0.51 ,0.00062 ,0.73 ,10.1002/adfm.201806558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BiSb(Se0.92Br0.08)3,700,-193,17925,0.50 ,0.00067 ,0.94 ,10.1002/adfm.201806558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BiSb(Se0.92Br0.08)3,800,-203,17340,0.44 ,0.00071 ,1.30 ,10.1002/adfm.201806558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BiSb(Se0.94Br0.06)3,300,-112,26117,0.64 ,0.00033 ,0.15 ,10.1002/adfm.201806558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BiSb(Se0.94Br0.06)3,400,-141,22500,0.57 ,0.00045 ,0.31 ,10.1002/adfm.201806558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BiSb(Se0.94Br0.06)3,500,-169,19362,0.53 ,0.00055 ,0.52 ,10.1002/adfm.201806558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BiSb(Se0.94Br0.06)3,600,-186,17500,0.51 ,0.00061 ,0.71 ,10.1002/adfm.201806558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BiSb(Se0.94Br0.06)3,700,-203,16277,0.50 ,0.00067 ,0.94 ,10.1002/adfm.201806558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BiSb(Se0.94Br0.06)3,800,-219,15479,0.44 ,0.00074 ,1.35 ,10.1002/adfm.201806558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BiSb(Se0.96Br0.04)3,300,-100,21000,0.65 ,0.00021 ,0.12 ,10.1002/adfm.201806558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BiSb(Se0.96Br0.04)3,400,-141,19000,0.59 ,0.00038 ,0.28 ,10.1002/adfm.201806558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BiSb(Se0.96Br0.04)3,500,-169,16436,0.55 ,0.00047 ,0.43 ,10.1002/adfm.201806558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BiSb(Se0.96Br0.04)3,600,-192,14630,0.53 ,0.00054 ,0.63 ,10.1002/adfm.201806558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BiSb(Se0.96Br0.04)3,700,-213,13298,0.50 ,0.00060 ,0.84 ,10.1002/adfm.201806558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BiSb(Se0.96Br0.04)3,800,-228,12500,0.45 ,0.00065 ,1.16 ,10.1002/adfm.201806558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BiSb(Se0.98Br0.02)3,300,-109,21915,0.68 ,0.00026 ,0.12 ,10.1002/adfm.201806558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BiSb(Se0.98Br0.02)3,400,-147,19362,0.61 ,0.00042 ,0.27 ,10.1002/adfm.201806558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BiSb(Se0.98Br0.02)3,500,-173,16702,0.58 ,0.00050 ,0.42 ,10.1002/adfm.201806558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BiSb(Se0.98Br0.02)3,600,-190,15000,0.56 ,0.00054 ,0.58 ,10.1002/adfm.201806558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BiSb(Se0.98Br0.02)3,700,-208,13776,0.53 ,0.00060 ,0.79 ,10.1002/adfm.201806558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BiSb(Se0.98Br0.02)3,800,-229,12128,0.48 ,0.00064 ,1.06 ,10.1002/adfm.201806558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2.025Cd0.975SnSe4,300,173,5362,2.67 ,0.00016 ,0.02 ,10.1002/adma.200900409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2.025Cd0.975SnSe4,350,176,5862,2.24 ,0.00018 ,0.03 ,10.1002/adma.200900409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2.025Cd0.975SnSe4,400,179,6175,1.88 ,0.00020 ,0.04 ,10.1002/adma.200900409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
